impath,mos_qual,label,classname
/hd2/wangzichuan/AGIQA-3K/sd1.5_lowcorr_210.jpg,2.965504258,0,"an astronaut meeting an alien lizard humanoid, warm color, anime style"
/hd2/wangzichuan/AGIQA-3K/sd1.5_lowcorr_002.jpg,2.956517697,0,man lost in space
/hd2/wangzichuan/AGIQA-3K/midjourney_normal_066.jpg,3.381448298,0,"a pizza with chocolate on it, sci-fi style"
/hd2/wangzichuan/AGIQA-3K/sd1.5_highcorr_083.jpg,3.387308117,0,"eiffel tower drenched in blood, abstract style"
/hd2/wangzichuan/AGIQA-3K/DALLE2_normal_217.jpg,3.358399036,0,"a portrait photo of a beautiful female android, hyper detail, realistic style"
/hd2/wangzichuan/AGIQA-3K/glide_normal_007.jpg,1.388019295,0,a cat doing karaoke
/hd2/wangzichuan/AGIQA-3K/xl2.2_normal_082.jpg,3.019153218,0,"lanky young half - orc warrior, realistic style"
/hd2/wangzichuan/AGIQA-3K/glide_normal_095.jpg,1.461634192,0,"moon sea with stars and galaxies, anime style"
/hd2/wangzichuan/AGIQA-3K/glide_normal_269.jpg,0.617082776,0,"poignant portrait of an older man remembering his youth, warm color, hyper detail, baroque style"
/hd2/wangzichuan/AGIQA-3K/sd1.5_normal_244.jpg,2.094813219,0,"man at a royal banquet wearing an asymmetrical gown, top view, soft lighting"
/hd2/wangzichuan/AGIQA-3K/DALLE2_normal_226.jpg,3.153995905,0,"an anatomically correct cybertronic human heart, cold color, close-up"
/hd2/wangzichuan/AGIQA-3K/sd1.5_highcorr_173.jpg,3.180285613,0,"ancient japanese fantasy garden at night, elevation view"
/hd2/wangzichuan/AGIQA-3K/DALLE2_normal_283.jpg,3.035247107,0,"steampunk pocketwatch owl inside a glass jar buried in sand, elevation view, hyper detail, abstract style"
/hd2/wangzichuan/AGIQA-3K/sd1.5_normal_165.jpg,2.219265721,0,"a female hand holding a red fresh apple, long-shot"
/hd2/wangzichuan/AGIQA-3K/sd1.5_lowcorr_127.jpg,3.608269769,0,"robots building robots in a factory, hyper detail"
/hd2/wangzichuan/AGIQA-3K/midjourney_lowstep_222.jpg,3.094936968,0,"interior of cosmic highway created by the gods, cold color, top view"
/hd2/wangzichuan/AGIQA-3K/midjourney_normal_207.jpg,3.811215295,0,"painting of a man farmer at work in the field, hyper detail, realistic style"
/hd2/wangzichuan/AGIQA-3K/midjourney_lowstep_051.jpg,3.369510326,0,hanging gardens of babylon
/hd2/wangzichuan/AGIQA-3K/sd1.5_lowstep_214.jpg,3.417262215,0,"render of rivendell dreamy beautiful landscape, close-up, baroque style"
/hd2/wangzichuan/AGIQA-3K/midjourney_lowstep_076.jpg,3.216306552,0,"a biomechanical dahlia flower, sci-fi style"
/hd2/wangzichuan/AGIQA-3K/xl2.2_normal_208.jpg,3.480852014,0,"french fastfood adventure pixar movie poster , soft lighting, abstract style"
/hd2/wangzichuan/AGIQA-3K/DALLE2_normal_062.jpg,3.547644548,0,"a colour portrait of a king, realistic style"
/hd2/wangzichuan/AGIQA-3K/xl2.2_normal_230.jpg,3.286679622,0,"a fantast beauty detailed elf with mermaid tail, cold color, blurred detail"
/hd2/wangzichuan/AGIQA-3K/sd1.5_normal_251.jpg,3.0193248,0,"a brain with eyeballs peaking out between the folds, long-shot, hyper detail"
/hd2/wangzichuan/AGIQA-3K/xl2.2_normal_227.jpg,3.094936968,0,"a sketch drawing of a hamster in a fruit basket, cold color, long-shot"
